Sat Sep 23 16:09:38 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
21502 an
72007 in
/tmp/an_in
77006 lines
40000 an
47174 in
/tmp/an_in_training
61605 lines
32063 an
37661 in
/tmp/an_in_validate
15401 lines
7937 an
9513 in
generate /tmp/an_in_training.py, /tmp/an_in_validate.py
Sat Sep 23 16:10:26 CEST 2017 create_classifier
{'training_data_file': '/tmp/an_in_training.py', 'num_outputs': 2, 'self': <__main__.NeuralNetwork object at 0x2b417e24ca58>, 'embedding_path': 'res_training/deu/embedding/final_embeddings.txt', 'epochs': 3000, 'use_flex_hidden_layer': False, 'num_inputs': 4, 'dictionary_path': 'res_training/deu/embedding/dictionary.txt', 'batch_size': 1000}
embedding shape (52520, 64)
/tmp/an_in_training.py loaded, containing 59724 entries, class distribution: [29862 29862]
Steps: 177000, 59 steps in 3000 epochs
epoch 0, training accuracy 0.508824
epoch 10, training accuracy 0.657508
epoch 20, training accuracy 0.721050
epoch 30, training accuracy 0.748393
epoch 40, training accuracy 0.762139
epoch 50, training accuracy 0.771516
epoch 60, training accuracy 0.777326
epoch 70, training accuracy 0.780842
epoch 80, training accuracy 0.783353
epoch 90, training accuracy 0.785614
epoch 100, training accuracy 0.787472
epoch 110, training accuracy 0.789264
epoch 120, training accuracy 0.790319
epoch 130, training accuracy 0.791072
epoch 140, training accuracy 0.792127
epoch 150, training accuracy 0.792529
epoch 160, training accuracy 0.793517
epoch 170, training accuracy 0.793935
epoch 180, training accuracy 0.794521
epoch 190, training accuracy 0.795141
epoch 200, training accuracy 0.795560
epoch 210, training accuracy 0.796179
epoch 220, training accuracy 0.796430
epoch 230, training accuracy 0.796681
epoch 240, training accuracy 0.796866
epoch 250, training accuracy 0.796732
epoch 260, training accuracy 0.796916
epoch 270, training accuracy 0.797033
epoch 280, training accuracy 0.797184
epoch 290, training accuracy 0.797284
epoch 300, training accuracy 0.797385
epoch 310, training accuracy 0.797502
epoch 320, training accuracy 0.797820
epoch 330, training accuracy 0.797820
epoch 340, training accuracy 0.797937
epoch 350, training accuracy 0.797954
epoch 360, training accuracy 0.798054
epoch 370, training accuracy 0.798289
epoch 380, training accuracy 0.798306
epoch 390, training accuracy 0.798373
epoch 400, training accuracy 0.798590
epoch 410, training accuracy 0.798624
epoch 420, training accuracy 0.798959
epoch 430, training accuracy 0.798892
epoch 440, training accuracy 0.798975
epoch 450, training accuracy 0.799092
epoch 460, training accuracy 0.799009
epoch 470, training accuracy 0.799026
epoch 480, training accuracy 0.799076
epoch 490, training accuracy 0.799042
epoch 500, training accuracy 0.799076
epoch 510, training accuracy 0.799176
epoch 520, training accuracy 0.799159
epoch 530, training accuracy 0.799277
epoch 540, training accuracy 0.799026
epoch 550, training accuracy 0.799243
epoch 560, training accuracy 0.799377
epoch 570, training accuracy 0.799411
epoch 580, training accuracy 0.799628
epoch 590, training accuracy 0.799528
epoch 600, training accuracy 0.799478
epoch 610, training accuracy 0.799461
epoch 620, training accuracy 0.799310
epoch 630, training accuracy 0.799394
epoch 640, training accuracy 0.799628
epoch 650, training accuracy 0.799478
epoch 660, training accuracy 0.799511
epoch 670, training accuracy 0.799511
epoch 680, training accuracy 0.799260
epoch 690, training accuracy 0.799478
epoch 700, training accuracy 0.799695
epoch 710, training accuracy 0.799645
epoch 720, training accuracy 0.799545
epoch 730, training accuracy 0.799511
epoch 740, training accuracy 0.799377
epoch 750, training accuracy 0.799578
epoch 760, training accuracy 0.799478
epoch 770, training accuracy 0.799628
epoch 780, training accuracy 0.799662
epoch 790, training accuracy 0.799645
epoch 800, training accuracy 0.799511
epoch 810, training accuracy 0.799595
epoch 820, training accuracy 0.799511
epoch 830, training accuracy 0.799545
epoch 840, training accuracy 0.799796
epoch 850, training accuracy 0.799746
epoch 860, training accuracy 0.799545
epoch 870, training accuracy 0.799679
epoch 880, training accuracy 0.799545
epoch 890, training accuracy 0.799545
epoch 900, training accuracy 0.799729
epoch 910, training accuracy 0.799679
epoch 920, training accuracy 0.799511
epoch 930, training accuracy 0.799712
epoch 940, training accuracy 0.799444
epoch 950, training accuracy 0.799545
epoch 960, training accuracy 0.799679
epoch 970, training accuracy 0.799561
epoch 980, training accuracy 0.799511
epoch 990, training accuracy 0.799628
epoch 1000, training accuracy 0.799461
epoch 1010, training accuracy 0.799444
epoch 1020, training accuracy 0.799662
epoch 1030, training accuracy 0.799444
epoch 1040, training accuracy 0.799545
epoch 1050, training accuracy 0.799528
epoch 1060, training accuracy 0.799461
epoch 1070, training accuracy 0.799427
epoch 1080, training accuracy 0.799612
epoch 1090, training accuracy 0.799461
epoch 1100, training accuracy 0.799578
epoch 1110, training accuracy 0.799511
epoch 1120, training accuracy 0.799444
epoch 1130, training accuracy 0.799478
epoch 1140, training accuracy 0.799612
epoch 1150, training accuracy 0.799494
epoch 1160, training accuracy 0.799528
epoch 1170, training accuracy 0.799595
epoch 1180, training accuracy 0.799511
epoch 1190, training accuracy 0.799561
epoch 1200, training accuracy 0.799628
epoch 1210, training accuracy 0.799561
epoch 1220, training accuracy 0.799528
epoch 1230, training accuracy 0.799645
epoch 1240, training accuracy 0.799511
epoch 1250, training accuracy 0.799578
epoch 1260, training accuracy 0.799645
epoch 1270, training accuracy 0.799545
epoch 1280, training accuracy 0.799528
epoch 1290, training accuracy 0.799628
epoch 1300, training accuracy 0.799595
epoch 1310, training accuracy 0.799578
epoch 1320, training accuracy 0.799695
epoch 1330, training accuracy 0.799578
epoch 1340, training accuracy 0.799545
epoch 1350, training accuracy 0.799545
epoch 1360, training accuracy 0.799628
epoch 1370, training accuracy 0.799578
epoch 1380, training accuracy 0.799679
epoch 1390, training accuracy 0.799478
epoch 1400, training accuracy 0.799578
epoch 1410, training accuracy 0.799578
epoch 1420, training accuracy 0.799645
epoch 1430, training accuracy 0.799578
epoch 1440, training accuracy 0.799679
epoch 1450, training accuracy 0.799494
epoch 1460, training accuracy 0.799595
