Sun Sep 24 13:21:50 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
172 dich
3420 doch
/tmp/dich_doch
32683 lines
1617 dich
31106 doch
/tmp/dich_doch_training
26147 lines
1315 dich
24866 doch
/tmp/dich_doch_validate
6536 lines
302 dich
6240 doch
generate /tmp/dich_doch_training.py, /tmp/dich_doch_validate.py
Sun Sep 24 13:22:15 CEST 2017 create_classifier
{'embedding_path': 'res_training/deu/embedding/final_embeddings.txt', 'epochs': 3000, 'use_flex_hidden_layer': False, 'training_data_file': '/tmp/dich_doch_training.py', 'batch_size': 1000, 'self': <__main__.NeuralNetwork object at 0x2abcba49da90>, 'num_outputs': 2, 'dictionary_path': 'res_training/deu/embedding/dictionary.txt', 'num_inputs': 4}
embedding shape (52520, 64)
/tmp/dich_doch_training.py loaded, containing 2772 entries, class distribution: [1386 1386]
Steps: 6000, 2 steps in 3000 epochs
epoch 0, training accuracy 0.458153
epoch 10, training accuracy 0.457431
epoch 20, training accuracy 0.466811
epoch 30, training accuracy 0.482684
epoch 40, training accuracy 0.496392
epoch 50, training accuracy 0.513348
epoch 60, training accuracy 0.533550
epoch 70, training accuracy 0.547258
epoch 80, training accuracy 0.567460
epoch 90, training accuracy 0.579004
epoch 100, training accuracy 0.592352
epoch 110, training accuracy 0.606782
epoch 120, training accuracy 0.620491
epoch 130, training accuracy 0.633838
epoch 140, training accuracy 0.648990
epoch 150, training accuracy 0.663059
epoch 160, training accuracy 0.672799
epoch 170, training accuracy 0.681818
epoch 180, training accuracy 0.689033
epoch 190, training accuracy 0.700938
epoch 200, training accuracy 0.707431
epoch 210, training accuracy 0.715729
epoch 220, training accuracy 0.725830
epoch 230, training accuracy 0.731963
epoch 240, training accuracy 0.737734
epoch 250, training accuracy 0.743506
epoch 260, training accuracy 0.748918
epoch 270, training accuracy 0.753247
epoch 280, training accuracy 0.758297
epoch 290, training accuracy 0.762626
epoch 300, training accuracy 0.768037
epoch 310, training accuracy 0.769481
epoch 320, training accuracy 0.775253
epoch 330, training accuracy 0.779582
