Sat Oct 14 13:18:39 CEST 2017 create_training_files
/tmp/tatoeba_german.csv_small
300000 lines
499 seid
1001 seit
/tmp/seid_seit
1943 lines
641 seid
1303 seit
/tmp/seid_seit_training
1555 lines
514 seid
1042 seit
/tmp/seid_seit_validate
388 lines
127 seid
261 seit
generate /tmp/seid_seit_training.py, /tmp/seid_seit_validate.py
Sat Oct 14 13:18:44 CEST 2017 create_classifier
{'num_inputs': 4, 'embedding_path': 'res_training/deu/embedding/final_embeddings.txt', 'dictionary_path': 'res_training/deu/embedding/dictionary.txt', 'use_flex_hidden_layer': False, 'epochs': 3000, 'self': <__main__.NeuralNetwork object at 0x2b93a4218a90>, 'batch_size': 1000, 'training_data_file': '/tmp/seid_seit_training.py', 'num_outputs': 2}
embedding shape (52520, 64)
/tmp/seid_seit_training.py loaded, containing 1044 entries, class distribution: [522 522]
Steps: 3000, 1 steps in 3000 epochs
epoch 0, training accuracy 0.630268
epoch 10, training accuracy 0.656130
epoch 20, training accuracy 0.681035
epoch 30, training accuracy 0.698276
epoch 40, training accuracy 0.717433
epoch 50, training accuracy 0.740421
epoch 60, training accuracy 0.761494
epoch 70, training accuracy 0.782567
epoch 80, training accuracy 0.794061
epoch 90, training accuracy 0.805556
epoch 100, training accuracy 0.816092
epoch 110, training accuracy 0.825670
epoch 120, training accuracy 0.837165
epoch 130, training accuracy 0.843870
epoch 140, training accuracy 0.848659
epoch 150, training accuracy 0.857280
epoch 160, training accuracy 0.859195
epoch 170, training accuracy 0.862069
epoch 180, training accuracy 0.864943
epoch 190, training accuracy 0.868774
epoch 200, training accuracy 0.875479
epoch 210, training accuracy 0.877395
epoch 220, training accuracy 0.886015
epoch 230, training accuracy 0.889847
epoch 240, training accuracy 0.898467
epoch 250, training accuracy 0.900383
epoch 260, training accuracy 0.901341
epoch 270, training accuracy 0.904215
epoch 280, training accuracy 0.906130
epoch 290, training accuracy 0.908046
epoch 300, training accuracy 0.909004
epoch 310, training accuracy 0.913793
epoch 320, training accuracy 0.915709
epoch 330, training accuracy 0.920498
epoch 340, training accuracy 0.921456
epoch 350, training accuracy 0.923372
epoch 360, training accuracy 0.924330
epoch 370, training accuracy 0.925287
epoch 380, training accuracy 0.925287
epoch 390, training accuracy 0.926245
epoch 400, training accuracy 0.928161
epoch 410, training accuracy 0.928161
epoch 420, training accuracy 0.928161
epoch 430, training accuracy 0.928161
epoch 440, training accuracy 0.928161
epoch 450, training accuracy 0.930077
epoch 460, training accuracy 0.930077
epoch 470, training accuracy 0.931035
epoch 480, training accuracy 0.931992
epoch 490, training accuracy 0.932950
epoch 500, training accuracy 0.932950
epoch 510, training accuracy 0.932950
epoch 520, training accuracy 0.936782
epoch 530, training accuracy 0.936782
epoch 540, training accuracy 0.936782
epoch 550, training accuracy 0.936782
epoch 560, training accuracy 0.936782
epoch 570, training accuracy 0.941571
epoch 580, training accuracy 0.941571
epoch 590, training accuracy 0.942529
epoch 600, training accuracy 0.943487
epoch 610, training accuracy 0.944444
epoch 620, training accuracy 0.945402
epoch 630, training accuracy 0.946360
epoch 640, training accuracy 0.947318
epoch 650, training accuracy 0.948276
epoch 660, training accuracy 0.950192
epoch 670, training accuracy 0.953065
epoch 680, training accuracy 0.953065
epoch 690, training accuracy 0.954023
epoch 700, training accuracy 0.954023
epoch 710, training accuracy 0.954981
epoch 720, training accuracy 0.954981
