Sat Sep 23 12:32:38 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
274 wann
5837 wenn
/tmp/wann_wenn
42536 lines
2598 wann
40024 wenn
/tmp/wann_wenn_training
34029 lines
2089 wann
32004 wenn
/tmp/wann_wenn_validate
8507 lines
509 wann
8020 wenn
generate /tmp/wann_wenn_training.py, /tmp/wann_wenn_validate.py
Sat Sep 23 12:33:05 CEST 2017 create_classifier
{'num_outputs': 2, 'embedding_path': 'res_training/deu/embedding/final_embeddings.txt', 'use_flex_hidden_layer': False, 'epochs': 3000, 'batch_size': 1000, 'dictionary_path': 'res_training/deu/embedding/dictionary.txt', 'training_data_file': '/tmp/wann_wenn_training.py', 'num_inputs': 4, 'self': <__main__.NeuralNetwork object at 0x2b3cc76cf940>}
embedding shape (52520, 64)
/tmp/wann_wenn_training.py loaded, containing 4300 entries, class distribution: [2150 2150]
Steps: 12000, 4 steps in 3000 epochs
epoch 0, training accuracy 0.497442
epoch 10, training accuracy 0.498605
epoch 20, training accuracy 0.513023
epoch 30, training accuracy 0.541628
epoch 40, training accuracy 0.568837
epoch 50, training accuracy 0.589302
epoch 60, training accuracy 0.613488
epoch 70, training accuracy 0.632326
epoch 80, training accuracy 0.646977
epoch 90, training accuracy 0.657674
epoch 100, training accuracy 0.673488
epoch 110, training accuracy 0.683721
epoch 120, training accuracy 0.689535
epoch 130, training accuracy 0.697674
epoch 140, training accuracy 0.705581
epoch 150, training accuracy 0.713256
epoch 160, training accuracy 0.723488
epoch 170, training accuracy 0.729767
epoch 180, training accuracy 0.736279
epoch 190, training accuracy 0.737907
epoch 200, training accuracy 0.742791
epoch 210, training accuracy 0.749302
epoch 220, training accuracy 0.752791
epoch 230, training accuracy 0.757442
epoch 240, training accuracy 0.761395
epoch 250, training accuracy 0.763488
epoch 260, training accuracy 0.765116
epoch 270, training accuracy 0.768140
epoch 280, training accuracy 0.772093
epoch 290, training accuracy 0.775116
epoch 300, training accuracy 0.778837
epoch 310, training accuracy 0.779767
epoch 320, training accuracy 0.783023
epoch 330, training accuracy 0.784419
epoch 340, training accuracy 0.786279
epoch 350, training accuracy 0.788605
epoch 360, training accuracy 0.790233
epoch 370, training accuracy 0.791860
epoch 380, training accuracy 0.794419
epoch 390, training accuracy 0.795814
epoch 400, training accuracy 0.796977
epoch 410, training accuracy 0.799767
epoch 420, training accuracy 0.803023
epoch 430, training accuracy 0.804651
epoch 440, training accuracy 0.804884
epoch 450, training accuracy 0.806046
epoch 460, training accuracy 0.806744
epoch 470, training accuracy 0.809767
epoch 480, training accuracy 0.809535
epoch 490, training accuracy 0.810698
epoch 500, training accuracy 0.812791
epoch 510, training accuracy 0.814419
epoch 520, training accuracy 0.815349
epoch 530, training accuracy 0.815581
epoch 540, training accuracy 0.816977
epoch 550, training accuracy 0.817674
epoch 560, training accuracy 0.816977
