Mon Sep 25 21:06:23 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
6650 wir
15156 wird
/tmp/wir_wird
79333 lines
40000 wir
40867 wird
/tmp/wir_wird_training
63467 lines
31938 wir
32761 wird
/tmp/wir_wird_validate
15866 lines
8062 wir
8106 wird
generate /tmp/wir_wird_training.py, /tmp/wir_wird_validate.py
Mon Sep 25 21:07:07 CEST 2017 create_classifier
{'epochs': 3000, 'dictionary_path': 'res_training/deu/embedding/dictionary.txt', 'self': <__main__.NeuralNetwork object at 0x2aad04cd4a90>, 'use_flex_hidden_layer': False, 'num_outputs': 2, 'num_inputs': 4, 'training_data_file': '/tmp/wir_wird_training.py', 'embedding_path': 'res_training/deu/embedding/final_embeddings.txt', 'batch_size': 1000}
embedding shape (52520, 64)
/tmp/wir_wird_training.py loaded, containing 67578 entries, class distribution: [33789 33789]
Steps: 201000, 67 steps in 3000 epochs
epoch 0, training accuracy 0.521723
epoch 10, training accuracy 0.858933
epoch 20, training accuracy 0.908313
epoch 30, training accuracy 0.925316
epoch 40, training accuracy 0.935334
epoch 50, training accuracy 0.941786
epoch 60, training accuracy 0.946166
epoch 70, training accuracy 0.949880
epoch 80, training accuracy 0.952677
epoch 90, training accuracy 0.954985
epoch 100, training accuracy 0.956717
epoch 110, training accuracy 0.958122
epoch 120, training accuracy 0.959217
epoch 130, training accuracy 0.960268
epoch 140, training accuracy 0.961126
epoch 150, training accuracy 0.961615
epoch 160, training accuracy 0.962192
epoch 170, training accuracy 0.962606
epoch 180, training accuracy 0.963035
epoch 190, training accuracy 0.963346
epoch 200, training accuracy 0.963509
epoch 210, training accuracy 0.963627
epoch 220, training accuracy 0.963716
epoch 230, training accuracy 0.963938
epoch 240, training accuracy 0.964234
epoch 250, training accuracy 0.964263
epoch 260, training accuracy 0.964278
epoch 270, training accuracy 0.964352
epoch 280, training accuracy 0.964441
epoch 290, training accuracy 0.964515
epoch 300, training accuracy 0.964559
epoch 310, training accuracy 0.964530
epoch 320, training accuracy 0.964589
