Sun Oct 8 17:31:17 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
397 accept
202 except
/tmp/accept_except
2481 lines
1631 accept
850 except
/tmp/accept_except_training
1985 lines
1301 accept
684 except
/tmp/accept_except_validate
496 lines
330 accept
166 except
generate /tmp/accept_except_training.py, /tmp/accept_except_validate.py
Sun Oct 8 17:31:24 CEST 2017 create_classifier
{'self': <__main__.NeuralNetwork object at 0x2b2d76265a90>, 'training_data_file': '/tmp/accept_except_training.py', 'use_flex_hidden_layer': False, 'batch_size': 1000, 'num_outputs': 2, 'dictionary_path': 'res_training/eng/embedding/dictionary.txt', 'num_inputs': 4, 'embedding_path': 'res_training/eng/embedding/final_embeddings.txt', 'epochs': 3000}
embedding shape (42122, 64)
/tmp/accept_except_training.py loaded, containing 1364 entries, class distribution: [682 682]
Steps: 3000, 1 steps in 3000 epochs
epoch 0, training accuracy 0.524194
epoch 10, training accuracy 0.542522
epoch 20, training accuracy 0.554985
epoch 30, training accuracy 0.565249
epoch 40, training accuracy 0.576979
epoch 50, training accuracy 0.587977
epoch 60, training accuracy 0.610704
epoch 70, training accuracy 0.623900
epoch 80, training accuracy 0.642962
epoch 90, training accuracy 0.659091
epoch 100, training accuracy 0.669355
epoch 110, training accuracy 0.682551
epoch 120, training accuracy 0.695015
epoch 130, training accuracy 0.711877
epoch 140, training accuracy 0.719941
epoch 150, training accuracy 0.731672
epoch 160, training accuracy 0.740469
epoch 170, training accuracy 0.750000
epoch 180, training accuracy 0.755132
epoch 190, training accuracy 0.762463
epoch 200, training accuracy 0.771994
epoch 210, training accuracy 0.781525
epoch 220, training accuracy 0.790323
epoch 230, training accuracy 0.794721
epoch 240, training accuracy 0.800587
epoch 250, training accuracy 0.805718
epoch 260, training accuracy 0.814516
epoch 270, training accuracy 0.817449
epoch 280, training accuracy 0.820381
epoch 290, training accuracy 0.825513
epoch 300, training accuracy 0.829179
epoch 310, training accuracy 0.835044
epoch 320, training accuracy 0.835044
epoch 330, training accuracy 0.839443
epoch 340, training accuracy 0.845308
epoch 350, training accuracy 0.848974
epoch 360, training accuracy 0.851173
epoch 370, training accuracy 0.856305
epoch 380, training accuracy 0.859971
epoch 390, training accuracy 0.862903
epoch 400, training accuracy 0.865836
epoch 410, training accuracy 0.868035
epoch 420, training accuracy 0.870968
epoch 430, training accuracy 0.873900
epoch 440, training accuracy 0.875367
epoch 450, training accuracy 0.876100
epoch 460, training accuracy 0.876833
epoch 470, training accuracy 0.880499
epoch 480, training accuracy 0.881965
epoch 490, training accuracy 0.881965
epoch 500, training accuracy 0.885630
epoch 510, training accuracy 0.887830
epoch 520, training accuracy 0.889296
epoch 530, training accuracy 0.890029
epoch 540, training accuracy 0.891496
epoch 550, training accuracy 0.892229
epoch 560, training accuracy 0.893695
epoch 570, training accuracy 0.896628
epoch 580, training accuracy 0.897361
epoch 590, training accuracy 0.900293
epoch 600, training accuracy 0.902493
epoch 610, training accuracy 0.903226
epoch 620, training accuracy 0.903959
epoch 630, training accuracy 0.903226
epoch 640, training accuracy 0.903226
epoch 650, training accuracy 0.903959
epoch 660, training accuracy 0.903959
epoch 670, training accuracy 0.903959
epoch 680, training accuracy 0.904692
epoch 690, training accuracy 0.905425
epoch 700, training accuracy 0.906892
epoch 710, training accuracy 0.907625
epoch 720, training accuracy 0.908358
epoch 730, training accuracy 0.909091
epoch 740, training accuracy 0.909824
epoch 750, training accuracy 0.912023
epoch 760, training accuracy 0.912757
epoch 770, training accuracy 0.913490
epoch 780, training accuracy 0.914956
epoch 790, training accuracy 0.915689
epoch 800, training accuracy 0.915689
epoch 810, training accuracy 0.915689
epoch 820, training accuracy 0.915689
epoch 830, training accuracy 0.915689
epoch 840, training accuracy 0.917889
epoch 850, training accuracy 0.917889
epoch 860, training accuracy 0.917889
epoch 870, training accuracy 0.918622
epoch 880, training accuracy 0.918622
epoch 890, training accuracy 0.921554
epoch 900, training accuracy 0.922287
epoch 910, training accuracy 0.923021
epoch 920, training accuracy 0.922287
epoch 930, training accuracy 0.922287
epoch 940, training accuracy 0.923021
epoch 950, training accuracy 0.923021
epoch 960, training accuracy 0.923021
epoch 970, training accuracy 0.924487
epoch 980, training accuracy 0.925220
epoch 990, training accuracy 0.925220
epoch 1000, training accuracy 0.927419
epoch 1010, training accuracy 0.928153
epoch 1020, training accuracy 0.929619
epoch 1030, training accuracy 0.929619
epoch 1040, training accuracy 0.929619
epoch 1050, training accuracy 0.929619
epoch 1060, training accuracy 0.931085
epoch 1070, training accuracy 0.931085
epoch 1080, training accuracy 0.931818
epoch 1090, training accuracy 0.931818
epoch 1100, training accuracy 0.931818
epoch 1110, training accuracy 0.931818
epoch 1120, training accuracy 0.932551
epoch 1130, training accuracy 0.932551
epoch 1140, training accuracy 0.934018
epoch 1150, training accuracy 0.934751
epoch 1160, training accuracy 0.936217
epoch 1170, training accuracy 0.937683
epoch 1180, training accuracy 0.937683
epoch 1190, training accuracy 0.937683
epoch 1200, training accuracy 0.937683
epoch 1210, training accuracy 0.937683
epoch 1220, training accuracy 0.938416
epoch 1230, training accuracy 0.937683
epoch 1240, training accuracy 0.937683
epoch 1250, training accuracy 0.937683
epoch 1260, training accuracy 0.937683
epoch 1270, training accuracy 0.937683
epoch 1280, training accuracy 0.937683
epoch 1290, training accuracy 0.938416
epoch 1300, training accuracy 0.938416
epoch 1310, training accuracy 0.938416
epoch 1320, training accuracy 0.939150
epoch 1330, training accuracy 0.939883
epoch 1340, training accuracy 0.939883
epoch 1350, training accuracy 0.940616
epoch 1360, training accuracy 0.940616
epoch 1370, training accuracy 0.941349
epoch 1380, training accuracy 0.941349
epoch 1390, training accuracy 0.941349
epoch 1400, training accuracy 0.942815
epoch 1410, training accuracy 0.944282
epoch 1420, training accuracy 0.944282
epoch 1430, training accuracy 0.944282
epoch 1440, training accuracy 0.945015
epoch 1450, training accuracy 0.946481
epoch 1460, training accuracy 0.946481
epoch 1470, training accuracy 0.946481
epoch 1480, training accuracy 0.946481
epoch 1490, training accuracy 0.946481
epoch 1500, training accuracy 0.946481
epoch 1510, training accuracy 0.946481
epoch 1520, training accuracy 0.946481
epoch 1530, training accuracy 0.946481
epoch 1540, training accuracy 0.946481
epoch 1550, training accuracy 0.946481
