Sun Oct 8 17:02:27 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
864 hour
6332 our
/tmp/hour_our
31103 lines
3680 hour
27468 our
/tmp/hour_our_training
24883 lines
2919 hour
22000 our
/tmp/hour_our_validate
6220 lines
761 hour
5468 our
generate /tmp/hour_our_training.py, /tmp/hour_our_validate.py
Sun Oct 8 17:02:51 CEST 2017 create_classifier
{'use_flex_hidden_layer': False, 'batch_size': 1000, 'epochs': 3000, 'dictionary_path': 'res_training/eng/embedding/dictionary.txt', 'num_inputs': 4, 'training_data_file': '/tmp/hour_our_training.py', 'num_outputs': 2, 'embedding_path': 'res_training/eng/embedding/final_embeddings.txt', 'self': <__main__.NeuralNetwork object at 0x2abd54066a90>}
embedding shape (42122, 64)
/tmp/hour_our_training.py loaded, containing 4394 entries, class distribution: [2197 2197]
Steps: 12000, 4 steps in 3000 epochs
epoch 0, training accuracy 0.439235
epoch 10, training accuracy 0.466318
epoch 20, training accuracy 0.522986
epoch 30, training accuracy 0.589440
epoch 40, training accuracy 0.673191
epoch 50, training accuracy 0.731907
epoch 60, training accuracy 0.775148
epoch 70, training accuracy 0.812927
epoch 80, training accuracy 0.842285
epoch 90, training accuracy 0.863223
epoch 100, training accuracy 0.885071
epoch 110, training accuracy 0.900091
epoch 120, training accuracy 0.912836
epoch 130, training accuracy 0.923077
epoch 140, training accuracy 0.929677
epoch 150, training accuracy 0.936049
epoch 160, training accuracy 0.939918
epoch 170, training accuracy 0.944015
epoch 180, training accuracy 0.946746
epoch 190, training accuracy 0.949477
epoch 200, training accuracy 0.952890
epoch 210, training accuracy 0.955166
epoch 220, training accuracy 0.956304
epoch 230, training accuracy 0.957897
epoch 240, training accuracy 0.959035
epoch 250, training accuracy 0.959490
epoch 260, training accuracy 0.961766
epoch 270, training accuracy 0.962676
epoch 280, training accuracy 0.963587
epoch 290, training accuracy 0.965180
epoch 300, training accuracy 0.966545
epoch 310, training accuracy 0.968138
epoch 320, training accuracy 0.968594
epoch 330, training accuracy 0.969276
epoch 340, training accuracy 0.969959
epoch 350, training accuracy 0.970187
epoch 360, training accuracy 0.970869
epoch 370, training accuracy 0.971780
epoch 380, training accuracy 0.973373
epoch 390, training accuracy 0.974056
epoch 400, training accuracy 0.974511
epoch 410, training accuracy 0.975421
epoch 420, training accuracy 0.976787
epoch 430, training accuracy 0.977242
epoch 440, training accuracy 0.977469
epoch 450, training accuracy 0.977469
epoch 460, training accuracy 0.977469
epoch 470, training accuracy 0.978607
epoch 480, training accuracy 0.979518
epoch 490, training accuracy 0.979518
epoch 500, training accuracy 0.979973
epoch 510, training accuracy 0.979745
epoch 520, training accuracy 0.979745
epoch 530, training accuracy 0.979973
epoch 540, training accuracy 0.980200
epoch 550, training accuracy 0.980428
epoch 560, training accuracy 0.980883
epoch 570, training accuracy 0.982021
epoch 580, training accuracy 0.982476
epoch 590, training accuracy 0.982476
epoch 600, training accuracy 0.983614
epoch 610, training accuracy 0.984069
epoch 620, training accuracy 0.984069
epoch 630, training accuracy 0.984752
epoch 640, training accuracy 0.984752
epoch 650, training accuracy 0.984752
epoch 660, training accuracy 0.984752
epoch 670, training accuracy 0.984752
epoch 680, training accuracy 0.984752
epoch 690, training accuracy 0.985435
epoch 700, training accuracy 0.985435
epoch 710, training accuracy 0.985435
epoch 720, training accuracy 0.985435
epoch 730, training accuracy 0.985662
epoch 740, training accuracy 0.985662
epoch 750, training accuracy 0.985662
epoch 760, training accuracy 0.985662
epoch 770, training accuracy 0.985662
epoch 780, training accuracy 0.985890
epoch 790, training accuracy 0.986345
epoch 800, training accuracy 0.986573
epoch 810, training accuracy 0.986573
epoch 820, training accuracy 0.986573
epoch 830, training accuracy 0.986800
epoch 840, training accuracy 0.986800
epoch 850, training accuracy 0.986573
epoch 860, training accuracy 0.986345
epoch 870, training accuracy 0.986345
epoch 880, training accuracy 0.986345
epoch 890, training accuracy 0.986345
epoch 900, training accuracy 0.986345
epoch 910, training accuracy 0.986345
epoch 920, training accuracy 0.986345
epoch 930, training accuracy 0.986345
epoch 940, training accuracy 0.986345
epoch 950, training accuracy 0.986345
epoch 960, training accuracy 0.986345
epoch 970, training accuracy 0.986345
epoch 980, training accuracy 0.986573
epoch 990, training accuracy 0.986573
epoch 1000, training accuracy 0.986573
epoch 1010, training accuracy 0.986573
epoch 1020, training accuracy 0.987255
epoch 1030, training accuracy 0.987711
epoch 1040, training accuracy 0.987711
epoch 1050, training accuracy 0.987711
epoch 1060, training accuracy 0.987711
epoch 1070, training accuracy 0.987938
epoch 1080, training accuracy 0.988166
epoch 1090, training accuracy 0.988166
epoch 1100, training accuracy 0.988166
epoch 1110, training accuracy 0.988621
epoch 1120, training accuracy 0.989076
epoch 1130, training accuracy 0.989531
epoch 1140, training accuracy 0.989986
epoch 1150, training accuracy 0.990442
epoch 1160, training accuracy 0.990442
epoch 1170, training accuracy 0.990442
epoch 1180, training accuracy 0.990442
epoch 1190, training accuracy 0.990442
epoch 1200, training accuracy 0.990669
epoch 1210, training accuracy 0.990669
epoch 1220, training accuracy 0.991124
epoch 1230, training accuracy 0.991124
epoch 1240, training accuracy 0.991124
epoch 1250, training accuracy 0.991352
epoch 1260, training accuracy 0.991352
epoch 1270, training accuracy 0.991352
epoch 1280, training accuracy 0.991579
epoch 1290, training accuracy 0.991579
epoch 1300, training accuracy 0.991807
epoch 1310, training accuracy 0.991807
epoch 1320, training accuracy 0.991807
epoch 1330, training accuracy 0.991807
epoch 1340, training accuracy 0.991807
epoch 1350, training accuracy 0.991807
epoch 1360, training accuracy 0.991807
epoch 1370, training accuracy 0.991807
epoch 1380, training accuracy 0.991807
epoch 1390, training accuracy 0.992035
epoch 1400, training accuracy 0.992035
epoch 1410, training accuracy 0.992035
epoch 1420, training accuracy 0.992035
epoch 1430, training accuracy 0.992490
epoch 1440, training accuracy 0.992717
epoch 1450, training accuracy 0.992945
epoch 1460, training accuracy 0.993173
epoch 1470, training accuracy 0.993173
epoch 1480, training accuracy 0.993173
epoch 1490, training accuracy 0.993173
epoch 1500, training accuracy 0.993173
epoch 1510, training accuracy 0.993628
epoch 1520, training accuracy 0.993628
epoch 1530, training accuracy 0.993628
epoch 1540, training accuracy 0.993628
epoch 1550, training accuracy 0.993628
epoch 1560, training accuracy 0.993855
epoch 1570, training accuracy 0.993855
epoch 1580, training accuracy 0.993855
epoch 1590, training accuracy 0.993855
epoch 1600, training accuracy 0.993855
epoch 1610, training accuracy 0.994083
epoch 1620, training accuracy 0.994310
epoch 1630, training accuracy 0.994310
epoch 1640, training accuracy 0.994538
epoch 1650, training accuracy 0.994538
epoch 1660, training accuracy 0.994538
epoch 1670, training accuracy 0.994538
epoch 1680, training accuracy 0.994766
epoch 1690, training accuracy 0.994766
epoch 1700, training accuracy 0.994766
epoch 1710, training accuracy 0.994993
epoch 1720, training accuracy 0.994993
epoch 1730, training accuracy 0.994993
epoch 1740, training accuracy 0.994993
epoch 1750, training accuracy 0.994993
epoch 1760, training accuracy 0.994993
epoch 1770, training accuracy 0.995221
epoch 1780, training accuracy 0.995221
epoch 1790, training accuracy 0.995221
epoch 1800, training accuracy 0.994993
epoch 1810, training accuracy 0.994993
epoch 1820, training accuracy 0.994993
epoch 1830, training accuracy 0.994993
epoch 1840, training accuracy 0.994993
epoch 1850, training accuracy 0.994993
epoch 1860, training accuracy 0.994993
epoch 1870, training accuracy 0.994993
epoch 1880, training accuracy 0.994993
epoch 1890, training accuracy 0.994993
epoch 1900, training accuracy 0.994993
epoch 1910, training accuracy 0.994993
epoch 1920, training accuracy 0.994993
epoch 1930, training accuracy 0.994993
epoch 1940, training accuracy 0.994993
epoch 1950, training accuracy 0.994993
epoch 1960, training accuracy 0.994993
epoch 1970, training accuracy 0.994993
epoch 1980, training accuracy 0.994993
epoch 1990, training accuracy 0.994993
epoch 2000, training accuracy 0.994993
epoch 2010, training accuracy 0.994993
epoch 2020, training accuracy 0.994993
epoch 2030, training accuracy 0.994993
epoch 2040, training accuracy 0.994993
epoch 2050, training accuracy 0.994993
epoch 2060, training accuracy 0.994993
epoch 2070, training accuracy 0.994993
epoch 2080, training accuracy 0.995221
epoch 2090, training accuracy 0.995221
epoch 2100, training accuracy 0.995221
epoch 2110, training accuracy 0.995221
epoch 2120, training accuracy 0.995221
epoch 2130, training accuracy 0.995221
epoch 2140, training accuracy 0.995221
epoch 2150, training accuracy 0.995221
epoch 2160, training accuracy 0.995221
epoch 2170, training accuracy 0.995448
epoch 2180, training accuracy 0.995448
epoch 2190, training accuracy 0.995448
epoch 2200, training accuracy 0.995448
epoch 2210, training accuracy 0.995448
epoch 2220, training accuracy 0.995448
epoch 2230, training accuracy 0.995448
epoch 2240, training accuracy 0.995448
epoch 2250, training accuracy 0.995448
epoch 2260, training accuracy 0.995448
epoch 2270, training accuracy 0.995448
epoch 2280, training accuracy 0.995448
epoch 2290, training accuracy 0.995676
epoch 2300, training accuracy 0.995676
epoch 2310, training accuracy 0.995676
epoch 2320, training accuracy 0.995676
epoch 2330, training accuracy 0.995676
epoch 2340, training accuracy 0.995676
epoch 2350, training accuracy 0.995676
epoch 2360, training accuracy 0.995903
epoch 2370, training accuracy 0.995903
epoch 2380, training accuracy 0.995903
epoch 2390, training accuracy 0.996131
epoch 2400, training accuracy 0.996131
epoch 2410, training accuracy 0.996131
epoch 2420, training accuracy 0.996131
epoch 2430, training accuracy 0.996131
epoch 2440, training accuracy 0.996131
epoch 2450, training accuracy 0.996131
epoch 2460, training accuracy 0.996131
epoch 2470, training accuracy 0.996131
epoch 2480, training accuracy 0.996131
epoch 2490, training accuracy 0.996131
epoch 2500, training accuracy 0.996131
epoch 2510, training accuracy 0.996131
epoch 2520, training accuracy 0.996359
epoch 2530, training accuracy 0.996359
epoch 2540, training accuracy 0.996359
epoch 2550, training accuracy 0.996359
epoch 2560, training accuracy 0.996359
epoch 2570, training accuracy 0.996359
epoch 2580, training accuracy 0.996359
epoch 2590, training accuracy 0.996359
epoch 2600, training accuracy 0.996359
epoch 2610, training accuracy 0.996359
epoch 2620, training accuracy 0.996586
