Fri Oct 13 21:12:23 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
3962 know
5950 now
/tmp/know_now
42781 lines
17224 know
26112 now
/tmp/know_now_training
34225 lines
13771 know
20910 now
/tmp/know_now_validate
8556 lines
3453 know
5202 now
generate /tmp/know_now_training.py, /tmp/know_now_validate.py
Fri Oct 13 21:12:48 CEST 2017 create_classifier
{'dictionary_path': 'res_training/eng/embedding/dictionary.txt', 'training_data_file': '/tmp/know_now_training.py', 'batch_size': 1000, 'use_flex_hidden_layer': False, 'epochs': 3000, 'num_inputs': 4, 'embedding_path': 'res_training/eng/embedding/final_embeddings.txt', 'self': <__main__.NeuralNetwork object at 0x2b6ec257ba90>, 'num_outputs': 2}
embedding shape (42122, 64)
/tmp/know_now_training.py loaded, containing 28342 entries, class distribution: [14171 14171]
Steps: 84000, 28 steps in 3000 epochs
epoch 0, training accuracy 0.523922
epoch 10, training accuracy 0.773234
epoch 20, training accuracy 0.873298
epoch 30, training accuracy 0.907240
epoch 40, training accuracy 0.924494
epoch 50, training accuracy 0.935502
epoch 60, training accuracy 0.941888
epoch 70, training accuracy 0.946757
epoch 80, training accuracy 0.949757
epoch 90, training accuracy 0.952861
epoch 100, training accuracy 0.954908
epoch 110, training accuracy 0.956919
epoch 120, training accuracy 0.958895
epoch 130, training accuracy 0.960447
epoch 140, training accuracy 0.961576
epoch 150, training accuracy 0.962917
epoch 160, training accuracy 0.964082
epoch 170, training accuracy 0.964893
epoch 180, training accuracy 0.965705
epoch 190, training accuracy 0.966587
epoch 200, training accuracy 0.967292
epoch 210, training accuracy 0.967963
epoch 220, training accuracy 0.968845
epoch 230, training accuracy 0.969515
epoch 240, training accuracy 0.970009
epoch 250, training accuracy 0.970433
epoch 260, training accuracy 0.970821
epoch 270, training accuracy 0.971174
epoch 280, training accuracy 0.971738
epoch 290, training accuracy 0.971809
epoch 300, training accuracy 0.972373
epoch 310, training accuracy 0.972761
epoch 320, training accuracy 0.972938
epoch 330, training accuracy 0.973079
epoch 340, training accuracy 0.973185
epoch 350, training accuracy 0.973502
epoch 360, training accuracy 0.973785
epoch 370, training accuracy 0.973996
epoch 380, training accuracy 0.974173
epoch 390, training accuracy 0.974490
epoch 400, training accuracy 0.974490
epoch 410, training accuracy 0.974561
epoch 420, training accuracy 0.974702
epoch 430, training accuracy 0.974702
epoch 440, training accuracy 0.974843
epoch 450, training accuracy 0.974984
epoch 460, training accuracy 0.975019
epoch 470, training accuracy 0.975055
