Sun Sep 24 17:30:34 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
1467 side
1075 site
/tmp/side_site
10937 lines
6315 side
4640 site
/tmp/side_site_training
8750 lines
5053 side
3710 site
/tmp/side_site_validate
2187 lines
1262 side
930 site
generate /tmp/side_site_training.py, /tmp/side_site_validate.py
Sun Sep 24 17:30:49 CEST 2017 create_classifier
{'dictionary_path': 'res_training/eng/embedding/dictionary.txt', 'self': <__main__.NeuralNetwork object at 0x2b2366992a90>, 'use_flex_hidden_layer': False, 'training_data_file': '/tmp/side_site_training.py', 'num_outputs': 2, 'batch_size': 1000, 'embedding_path': 'res_training/eng/embedding/final_embeddings.txt', 'epochs': 3000, 'num_inputs': 4}
embedding shape (42122, 64)
/tmp/side_site_training.py loaded, containing 7362 entries, class distribution: [3681 3681]
Steps: 21000, 7 steps in 3000 epochs
epoch 0, training accuracy 0.449470
epoch 10, training accuracy 0.440777
epoch 20, training accuracy 0.480304
epoch 30, training accuracy 0.539120
epoch 40, training accuracy 0.586254
epoch 50, training accuracy 0.629856
epoch 60, training accuracy 0.666259
epoch 70, training accuracy 0.700761
epoch 80, training accuracy 0.724939
epoch 90, training accuracy 0.746536
epoch 100, training accuracy 0.759169
epoch 110, training accuracy 0.770714
epoch 120, training accuracy 0.782260
epoch 130, training accuracy 0.789867
epoch 140, training accuracy 0.796251
epoch 150, training accuracy 0.803314
epoch 160, training accuracy 0.807797
epoch 170, training accuracy 0.812551
epoch 180, training accuracy 0.815132
epoch 190, training accuracy 0.818935
epoch 200, training accuracy 0.822603
epoch 210, training accuracy 0.826406
epoch 220, training accuracy 0.829530
epoch 230, training accuracy 0.832654
epoch 240, training accuracy 0.834963
epoch 250, training accuracy 0.836593
epoch 260, training accuracy 0.838223
epoch 270, training accuracy 0.839853
epoch 280, training accuracy 0.840804
epoch 290, training accuracy 0.842162
epoch 300, training accuracy 0.845694
epoch 310, training accuracy 0.847460
epoch 320, training accuracy 0.848682
