Sun Sep 24 14:22:26 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
9331 than
4574 then
/tmp/than_then
59196 lines
40003 than
19632 then
/tmp/than_then_training
47357 lines
32030 than
15676 then
/tmp/than_then_validate
11839 lines
7973 than
3956 then
generate /tmp/than_then_training.py, /tmp/than_then_validate.py
Sun Sep 24 14:23:00 CEST 2017 create_classifier
{'training_data_file': '/tmp/than_then_training.py', 'dictionary_path': 'res_training/eng/embedding/dictionary.txt', 'num_outputs': 2, 'use_flex_hidden_layer': False, 'epochs': 3000, 'self': <__main__.NeuralNetwork object at 0x2aadcc9e8a90>, 'num_inputs': 4, 'batch_size': 1000, 'embedding_path': 'res_training/eng/embedding/final_embeddings.txt'}
embedding shape (42122, 64)
/tmp/than_then_training.py loaded, containing 30838 entries, class distribution: [15419 15419]
Steps: 90000, 30 steps in 3000 epochs
epoch 0, training accuracy 0.513782
epoch 10, training accuracy 0.836273
epoch 20, training accuracy 0.905474
epoch 30, training accuracy 0.928627
epoch 40, training accuracy 0.938063
epoch 50, training accuracy 0.944192
epoch 60, training accuracy 0.948019
epoch 70, training accuracy 0.951618
epoch 80, training accuracy 0.954147
epoch 90, training accuracy 0.956028
epoch 100, training accuracy 0.957325
epoch 110, training accuracy 0.959012
epoch 120, training accuracy 0.960049
epoch 130, training accuracy 0.961022
epoch 140, training accuracy 0.961833
epoch 150, training accuracy 0.962708
epoch 160, training accuracy 0.963616
epoch 170, training accuracy 0.964168
epoch 180, training accuracy 0.964686
epoch 190, training accuracy 0.965303
epoch 200, training accuracy 0.965659
epoch 210, training accuracy 0.966438
epoch 220, training accuracy 0.966989
epoch 230, training accuracy 0.967410
epoch 240, training accuracy 0.967540
epoch 250, training accuracy 0.968091
epoch 260, training accuracy 0.968480
epoch 270, training accuracy 0.968934
epoch 280, training accuracy 0.969097
epoch 290, training accuracy 0.969194
epoch 300, training accuracy 0.969388
epoch 310, training accuracy 0.969842
epoch 320, training accuracy 0.969907
epoch 330, training accuracy 0.970069
epoch 340, training accuracy 0.969940
epoch 350, training accuracy 0.970134
epoch 360, training accuracy 0.970199
epoch 370, training accuracy 0.970232
epoch 380, training accuracy 0.970361
epoch 390, training accuracy 0.970394
epoch 400, training accuracy 0.970459
epoch 410, training accuracy 0.970556
epoch 420, training accuracy 0.970653
epoch 430, training accuracy 0.970913
epoch 440, training accuracy 0.971269
epoch 450, training accuracy 0.971237
epoch 460, training accuracy 0.971237
epoch 470, training accuracy 0.971204
epoch 480, training accuracy 0.971204
epoch 490, training accuracy 0.971302
epoch 500, training accuracy 0.971431
epoch 510, training accuracy 0.971464
epoch 520, training accuracy 0.971626
epoch 530, training accuracy 0.971658
epoch 540, training accuracy 0.971788
epoch 550, training accuracy 0.971853
epoch 560, training accuracy 0.971950
epoch 570, training accuracy 0.971950
epoch 580, training accuracy 0.971918
epoch 590, training accuracy 0.972047
epoch 600, training accuracy 0.972015
epoch 610, training accuracy 0.972047
epoch 620, training accuracy 0.972080
epoch 630, training accuracy 0.972145
epoch 640, training accuracy 0.972145
epoch 650, training accuracy 0.972210
epoch 660, training accuracy 0.972242
epoch 670, training accuracy 0.972112
epoch 680, training accuracy 0.972112
epoch 690, training accuracy 0.972112
epoch 700, training accuracy 0.972210
epoch 710, training accuracy 0.972210
epoch 720, training accuracy 0.972210
epoch 730, training accuracy 0.972307
epoch 740, training accuracy 0.972372
epoch 750, training accuracy 0.972242
epoch 760, training accuracy 0.972372
epoch 770, training accuracy 0.972274
epoch 780, training accuracy 0.972210
epoch 790, training accuracy 0.972242
epoch 800, training accuracy 0.972274
epoch 810, training accuracy 0.972242
epoch 820, training accuracy 0.972242
epoch 830, training accuracy 0.972307
epoch 840, training accuracy 0.972307
epoch 850, training accuracy 0.972307
epoch 860, training accuracy 0.972307
epoch 870, training accuracy 0.972372
epoch 880, training accuracy 0.972404
epoch 890, training accuracy 0.972339
epoch 900, training accuracy 0.972469
epoch 910, training accuracy 0.972372
epoch 920, training accuracy 0.972307
epoch 930, training accuracy 0.972372
epoch 940, training accuracy 0.972372
epoch 950, training accuracy 0.972339
epoch 960, training accuracy 0.972372
epoch 970, training accuracy 0.972404
epoch 980, training accuracy 0.972437
epoch 990, training accuracy 0.972437
epoch 1000, training accuracy 0.972404
epoch 1010, training accuracy 0.972469
epoch 1020, training accuracy 0.972501
epoch 1030, training accuracy 0.972469
epoch 1040, training accuracy 0.972501
epoch 1050, training accuracy 0.972469
epoch 1060, training accuracy 0.972469
epoch 1070, training accuracy 0.972501
epoch 1080, training accuracy 0.972501
epoch 1090, training accuracy 0.972534
epoch 1100, training accuracy 0.972501
epoch 1110, training accuracy 0.972501
epoch 1120, training accuracy 0.972534
epoch 1130, training accuracy 0.972501
epoch 1140, training accuracy 0.972469
epoch 1150, training accuracy 0.972599
epoch 1160, training accuracy 0.972501
epoch 1170, training accuracy 0.972534
epoch 1180, training accuracy 0.972631
epoch 1190, training accuracy 0.972599
epoch 1200, training accuracy 0.972631
epoch 1210, training accuracy 0.972696
epoch 1220, training accuracy 0.972631
epoch 1230, training accuracy 0.972696
epoch 1240, training accuracy 0.972664
epoch 1250, training accuracy 0.972664
epoch 1260, training accuracy 0.972761
epoch 1270, training accuracy 0.972728
epoch 1280, training accuracy 0.972728
epoch 1290, training accuracy 0.972728
epoch 1300, training accuracy 0.972728
epoch 1310, training accuracy 0.972761
epoch 1320, training accuracy 0.972761
epoch 1330, training accuracy 0.972761
epoch 1340, training accuracy 0.972761
epoch 1350, training accuracy 0.972761
epoch 1360, training accuracy 0.972761
epoch 1370, training accuracy 0.972728
epoch 1380, training accuracy 0.972761
epoch 1390, training accuracy 0.972761
epoch 1400, training accuracy 0.972728
epoch 1410, training accuracy 0.972793
epoch 1420, training accuracy 0.972761
epoch 1430, training accuracy 0.972761
epoch 1440, training accuracy 0.972793
epoch 1450, training accuracy 0.972793
epoch 1460, training accuracy 0.972793
epoch 1470, training accuracy 0.972826
epoch 1480, training accuracy 0.972858
epoch 1490, training accuracy 0.972793
epoch 1500, training accuracy 0.972826
epoch 1510, training accuracy 0.972826
epoch 1520, training accuracy 0.972793
epoch 1530, training accuracy 0.972858
