Sat Oct 14 13:57:26 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
13684 their
9744 there
/tmp/their_there
78914 lines
40459 their
40000 there
/tmp/their_there_training
63132 lines
32332 their
32049 there
/tmp/their_there_validate
15782 lines
8127 their
7951 there
generate /tmp/their_there_training.py, /tmp/their_there_validate.py
Sat Oct 14 13:58:06 CEST 2017 create_classifier
{'batch_size': 1000, 'use_flex_hidden_layer': False, 'dictionary_path': 'res_training/eng/embedding/dictionary.txt', 'epochs': 3000, 'training_data_file': '/tmp/their_there_training.py', 'num_inputs': 4, 'embedding_path': 'res_training/eng/embedding/final_embeddings.txt', 'self': <__main__.NeuralNetwork object at 0x2ace9e512a90>, 'num_outputs': 2}
embedding shape (42122, 64)
/tmp/their_there_training.py loaded, containing 67014 entries, class distribution: [33507 33507]
Steps: 201000, 67 steps in 3000 epochs
epoch 0, training accuracy 0.525517
epoch 10, training accuracy 0.908079
epoch 20, training accuracy 0.949637
epoch 30, training accuracy 0.964440
epoch 40, training accuracy 0.972051
epoch 50, training accuracy 0.976751
epoch 60, training accuracy 0.979930
epoch 70, training accuracy 0.982422
epoch 80, training accuracy 0.984541
epoch 90, training accuracy 0.986167
epoch 100, training accuracy 0.987331
epoch 110, training accuracy 0.988062
epoch 120, training accuracy 0.988778
epoch 130, training accuracy 0.989256
epoch 140, training accuracy 0.989599
epoch 150, training accuracy 0.990121
epoch 160, training accuracy 0.990480
epoch 170, training accuracy 0.990838
epoch 180, training accuracy 0.991076
epoch 190, training accuracy 0.991330
epoch 200, training accuracy 0.991688
epoch 210, training accuracy 0.991897
epoch 220, training accuracy 0.992076
epoch 230, training accuracy 0.992136
epoch 240, training accuracy 0.992255
epoch 250, training accuracy 0.992375
epoch 260, training accuracy 0.992390
epoch 270, training accuracy 0.992449
epoch 280, training accuracy 0.992494
epoch 290, training accuracy 0.992524
epoch 300, training accuracy 0.992643
epoch 310, training accuracy 0.992658
epoch 320, training accuracy 0.992718
epoch 330, training accuracy 0.992778
epoch 340, training accuracy 0.992793
epoch 350, training accuracy 0.992837
epoch 360, training accuracy 0.992882
epoch 370, training accuracy 0.992927
epoch 380, training accuracy 0.993001
epoch 390, training accuracy 0.992987
epoch 400, training accuracy 0.992972
epoch 410, training accuracy 0.992987
epoch 420, training accuracy 0.993001
epoch 430, training accuracy 0.993001
epoch 440, training accuracy 0.992987
epoch 450, training accuracy 0.992912
epoch 460, training accuracy 0.992942
epoch 470, training accuracy 0.992942
epoch 480, training accuracy 0.992957
epoch 490, training accuracy 0.992942
epoch 500, training accuracy 0.992942
epoch 510, training accuracy 0.992972
epoch 520, training accuracy 0.993031
epoch 530, training accuracy 0.993046
epoch 540, training accuracy 0.993031
epoch 550, training accuracy 0.993046
epoch 560, training accuracy 0.993076
epoch 570, training accuracy 0.993046
epoch 580, training accuracy 0.993061
epoch 590, training accuracy 0.993061
epoch 600, training accuracy 0.993061
epoch 610, training accuracy 0.993106
epoch 620, training accuracy 0.993136
epoch 630, training accuracy 0.993136
epoch 640, training accuracy 0.993151
epoch 650, training accuracy 0.993106
epoch 660, training accuracy 0.993076
epoch 670, training accuracy 0.993106
epoch 680, training accuracy 0.993151
epoch 690, training accuracy 0.993136
epoch 700, training accuracy 0.993136
epoch 710, training accuracy 0.993136
epoch 720, training accuracy 0.993121
epoch 730, training accuracy 0.993136
epoch 740, training accuracy 0.993136
epoch 750, training accuracy 0.993151
epoch 760, training accuracy 0.993166
epoch 770, training accuracy 0.993181
epoch 780, training accuracy 0.993181
epoch 790, training accuracy 0.993136
epoch 800, training accuracy 0.993136
epoch 810, training accuracy 0.993195
epoch 820, training accuracy 0.993166
epoch 830, training accuracy 0.993181
epoch 840, training accuracy 0.993181
epoch 850, training accuracy 0.993210
epoch 860, training accuracy 0.993166
epoch 870, training accuracy 0.993195
epoch 880, training accuracy 0.993285
epoch 890, training accuracy 0.993300
epoch 900, training accuracy 0.993300
epoch 910, training accuracy 0.993270
epoch 920, training accuracy 0.993225
epoch 930, training accuracy 0.993210
epoch 940, training accuracy 0.993255
epoch 950, training accuracy 0.993255
epoch 960, training accuracy 0.993285
epoch 970, training accuracy 0.993270
epoch 980, training accuracy 0.993240
epoch 990, training accuracy 0.993240
epoch 1000, training accuracy 0.993255
epoch 1010, training accuracy 0.993240
epoch 1020, training accuracy 0.993210
epoch 1030, training accuracy 0.993195
epoch 1040, training accuracy 0.993195
epoch 1050, training accuracy 0.993195
epoch 1060, training accuracy 0.993255
epoch 1070, training accuracy 0.993255
epoch 1080, training accuracy 0.993225
epoch 1090, training accuracy 0.993225
epoch 1100, training accuracy 0.993210
epoch 1110, training accuracy 0.993210
epoch 1120, training accuracy 0.993225
epoch 1130, training accuracy 0.993240
epoch 1140, training accuracy 0.993240
epoch 1150, training accuracy 0.993240
epoch 1160, training accuracy 0.993225
epoch 1170, training accuracy 0.993225
epoch 1180, training accuracy 0.993225
epoch 1190, training accuracy 0.993240
epoch 1200, training accuracy 0.993240
epoch 1210, training accuracy 0.993225
epoch 1220, training accuracy 0.993225
epoch 1230, training accuracy 0.993225
epoch 1240, training accuracy 0.993225
epoch 1250, training accuracy 0.993240
epoch 1260, training accuracy 0.993225
epoch 1270, training accuracy 0.993195
epoch 1280, training accuracy 0.993225
epoch 1290, training accuracy 0.993240
epoch 1300, training accuracy 0.993255
epoch 1310, training accuracy 0.993270
epoch 1320, training accuracy 0.993225
epoch 1330, training accuracy 0.993240
epoch 1340, training accuracy 0.993225
epoch 1350, training accuracy 0.993240
epoch 1360, training accuracy 0.993255
epoch 1370, training accuracy 0.993255
epoch 1380, training accuracy 0.993240
epoch 1390, training accuracy 0.993255
epoch 1400, training accuracy 0.993225
epoch 1410, training accuracy 0.993225
epoch 1420, training accuracy 0.993240
epoch 1430, training accuracy 0.993270
epoch 1440, training accuracy 0.993255
epoch 1450, training accuracy 0.993240
epoch 1460, training accuracy 0.993240
epoch 1470, training accuracy 0.993225
epoch 1480, training accuracy 0.993225
epoch 1490, training accuracy 0.993225
epoch 1500, training accuracy 0.993255
epoch 1510, training accuracy 0.993240
epoch 1520, training accuracy 0.993225
epoch 1530, training accuracy 0.993240
epoch 1540, training accuracy 0.993225
epoch 1550, training accuracy 0.993225
epoch 1560, training accuracy 0.993225
epoch 1570, training accuracy 0.993210
epoch 1580, training accuracy 0.993210
epoch 1590, training accuracy 0.993225
epoch 1600, training accuracy 0.993240
epoch 1610, training accuracy 0.993210
epoch 1620, training accuracy 0.993240
epoch 1630, training accuracy 0.993195
epoch 1640, training accuracy 0.993210
epoch 1650, training accuracy 0.993210
epoch 1660, training accuracy 0.993225
epoch 1670, training accuracy 0.993225
epoch 1680, training accuracy 0.993225
epoch 1690, training accuracy 0.993210
epoch 1700, training accuracy 0.993210
epoch 1710, training accuracy 0.993210
epoch 1720, training accuracy 0.993195
epoch 1730, training accuracy 0.993181
epoch 1740, training accuracy 0.993210
epoch 1750, training accuracy 0.993225
epoch 1760, training accuracy 0.993181
epoch 1770, training accuracy 0.993210
epoch 1780, training accuracy 0.993210
epoch 1790, training accuracy 0.993181
epoch 1800, training accuracy 0.993181
epoch 1810, training accuracy 0.993225
epoch 1820, training accuracy 0.993210
epoch 1830, training accuracy 0.993181
epoch 1840, training accuracy 0.993210
epoch 1850, training accuracy 0.993210
epoch 1860, training accuracy 0.993195
epoch 1870, training accuracy 0.993181
epoch 1880, training accuracy 0.993210
epoch 1890, training accuracy 0.993195
epoch 1900, training accuracy 0.993195
epoch 1910, training accuracy 0.993195
epoch 1920, training accuracy 0.993195
epoch 1930, training accuracy 0.993195
epoch 1940, training accuracy 0.993195
epoch 1950, training accuracy 0.993210
epoch 1960, training accuracy 0.993195
epoch 1970, training accuracy 0.993195
epoch 1980, training accuracy 0.993210
epoch 1990, training accuracy 0.993210
epoch 2000, training accuracy 0.993195
epoch 2010, training accuracy 0.993195
epoch 2020, training accuracy 0.993195
epoch 2030, training accuracy 0.993210
epoch 2040, training accuracy 0.993210
epoch 2050, training accuracy 0.993210
epoch 2060, training accuracy 0.993210
epoch 2070, training accuracy 0.993195
epoch 2080, training accuracy 0.993210
epoch 2090, training accuracy 0.993210
epoch 2100, training accuracy 0.993210
epoch 2110, training accuracy 0.993210
epoch 2120, training accuracy 0.993210
epoch 2130, training accuracy 0.993225
epoch 2140, training accuracy 0.993210
epoch 2150, training accuracy 0.993225
epoch 2160, training accuracy 0.993225
epoch 2170, training accuracy 0.993225
epoch 2180, training accuracy 0.993210
epoch 2190, training accuracy 0.993210
epoch 2200, training accuracy 0.993210
epoch 2210, training accuracy 0.993225
epoch 2220, training accuracy 0.993225
epoch 2230, training accuracy 0.993240
epoch 2240, training accuracy 0.993210
epoch 2250, training accuracy 0.993210
epoch 2260, training accuracy 0.993210
epoch 2270, training accuracy 0.993210
epoch 2280, training accuracy 0.993240
